,equity,drawdown,capital
2020-05-29,92181.33905806935,-0.1021794454859639,135269.8996477689
2020-06-01,92077.53642673993,-0.10319045418872848,135269.8996477689
2020-06-02,91642.4879857602,-0.10742770477015934,135269.8996477689
2020-06-03,92386.27663464492,-0.10018341059948942,135269.8996477689
2020-06-04,91765.62973550164,-0.1062283384432389,135269.8996477689
2020-06-05,93457.8661669012,-0.08974642717212017,135269.8996477689
2020-06-08,90809.76128126164,-0.11553823081839318,135269.8996477689
2020-06-09,91845.05745953739,-0.10545473454502864,135269.8996477689
2020-06-10,90622.16702898144,-0.11736534655924569,135269.8996477689
2020-06-11,92092.83726128297,-0.10304142832411929,135269.8996477689
2020-06-12,91743.93996352356,-0.10643959077807835,135269.8996477689
2020-06-15,92410.24560400084,-0.09994995951732727,135269.8996477689
2020-06-16,91513.86457806367,-0.1086804609180044,135269.8996477689
2020-06-17,92812.4181908514,-0.09603291059369368,135269.8996477689
2020-06-18,92877.26881095502,-0.09540128362562225,135269.8996477689
2020-06-19,93869.90741160742,-0.08573326027104333,135269.8996477689
2020-06-22,94643.33085303055,-0.07820033147929256,135269.8996477689
2020-06-23,96495.27967770358,-0.06016286600428861,135269.8996477689
2020-06-24,96220.56688392584,-0.06283849206225094,135269.8996477689
2020-06-25,94976.71208955963,-0.07495329113790025,135269.8996477689
2020-06-26,93004.67308536006,-0.09416040149630395,135269.8996477689
2020-06-29,92467.36849670118,-0.09939359846069999,135269.8996477689
2020-06-30,91372.3692156997,-0.11005858631731935,135269.8996477689
2020-07-01,93358.76012382153,-0.0907116924141171,135269.8996477689
2020-07-02,93427.08263832082,-0.0900462501621348,135269.8996477689
2020-07-03,92234.54239975667,-0.10166125976395333,135269.8996477689
2020-07-06,91957.82457886786,-0.10435641422724226,135269.8996477689
2020-07-07,90938.8778202381,-0.11428067170930108,135269.8996477689
2020-07-08,91731.5775855934,-0.10655999689412937,135269.8996477689
2020-07-09,91212.91402120705,-0.11161163547675225,135269.8996477689
2020-07-10,91939.45985762091,-0.10453528149454293,135269.8996477689
2020-07-13,92280.86426947317,-0.1012100976612983,135269.8996477689
2020-07-14,92070.16962469951,-0.10326220478771635,135269.8996477689
2020-07-15,90451.9995439051,-0.11902273044380017,135269.8996477689
2020-07-16,90727.02230718704,-0.11634408536924522,135269.8996477689
2020-07-17,90773.05836792201,-0.11589570696642469,135269.8996477689
2020-07-20,91342.05964521089,-0.11035379308759857,135269.8996477689
2020-07-21,90730.24172310694,-0.11631272915533088,135269.8996477689
2020-07-22,90162.15541611511,-0.12184573147843594,135269.8996477689
2020-07-23,89666.61973231849,-0.12667211094909553,135269.8996477689
2020-07-24,91659.62087117534,-0.10726083524058837,135269.8996477689
2020-07-27,89971.83172708558,-0.12369943117262255,135269.8996477689
2020-07-28,88379.02317387269,-0.1392129426174871,135269.8996477689
2020-07-29,87013.6805299514,-0.1525109994931294,135269.8996477689
2020-07-30,88656.03244041673,-0.13651494955473248,135269.8996477689
2020-07-31,89797.48711047847,-0.12539749915425738,135269.8996477689
2020-08-03,90525.04024445027,-0.11831133437453448,135269.8996477689
2020-08-04,91728.94372059857,-0.10658565000520735,135269.8996477689
2020-08-05,90587.58992729991,-0.11770211789412119,135269.8996477689
2020-08-06,90866.22603892544,-0.11498827981362122,135269.8996477689
2020-08-07,91264.47929760651,-0.11110940405417043,135269.8996477689
2020-08-10,90605.73929965352,-0.11752534806503098,135269.8996477689
2020-08-11,91530.35723279946,-0.108519827056839,135269.8996477689
2020-08-12,91520.50164520131,-0.10861581773361646,135269.8996477689
